epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1849,1.16664,1.59271,1.19392,0.77519,0.75783,0.81397,0.59967,1.13287,1.0235,1.10176,0.000298671,0.000298671,0.000298671
2,98.6761,0.81965,0.71611,0.97423,0.76326,0.70883,0.78688,0.61562,0.92866,0.89318,1.00765,0.000589758,0.000589758,0.000589758
3,144.284,0.79533,0.67104,0.95952,0.88087,0.87732,0.9084,0.72796,0.87844,0.67974,0.9808,0.000868846,0.000868846,0.000868846
4,189.795,0.74585,0.59447,0.93638,0.92867,0.97374,0.97637,0.80609,0.79846,0.58769,0.96044,0.000855005,0.000855005,0.000855005
5,235.334,0.74205,0.53609,0.92958,0.9568,0.97622,0.98179,0.81731,0.77936,0.51611,0.9326,0.000837007,0.000837007,0.000837007
6,280.917,0.70877,0.50566,0.9209,0.95624,0.98004,0.98647,0.82353,0.72668,0.51288,0.91879,0.000819009,0.000819009,0.000819009
7,326.436,0.69,0.49127,0.91625,0.9521,0.95277,0.97368,0.81973,0.73935,0.51893,0.91925,0.000801011,0.000801011,0.000801011
8,371.777,0.71346,0.49399,0.91709,0.96237,0.97559,0.98419,0.83197,0.7265,0.47927,0.89504,0.000783013,0.000783013,0.000783013
9,417.343,0.6699,0.46563,0.90182,0.96346,0.98148,0.98811,0.83234,0.72068,0.45591,0.87119,0.000765014,0.000765014,0.000765014
10,462.872,0.66618,0.4732,0.9045,0.9654,0.98687,0.98535,0.8453,0.67612,0.44974,0.87979,0.000747016,0.000747016,0.000747016
11,508.367,0.63524,0.44798,0.89562,0.95099,0.96143,0.97355,0.83643,0.69929,0.47212,0.88337,0.000729018,0.000729018,0.000729018
12,553.737,0.67343,0.45372,0.89926,0.97857,0.97983,0.98796,0.84663,0.71096,0.45264,0.9117,0.00071102,0.00071102,0.00071102
13,599.289,0.65787,0.44361,0.89734,0.97847,0.98105,0.98804,0.86018,0.64966,0.41684,0.86593,0.000693022,0.000693022,0.000693022
14,644.861,0.64185,0.42401,0.88466,0.98551,0.9878,0.98909,0.863,0.63425,0.40156,0.86244,0.000675023,0.000675023,0.000675023
15,690.464,0.60981,0.41762,0.88597,0.97526,0.98687,0.99134,0.86028,0.67047,0.42265,0.87658,0.000657025,0.000657025,0.000657025
16,735.791,0.60253,0.4147,0.87802,0.97688,0.975,0.98236,0.84891,0.68124,0.41625,0.87474,0.000639027,0.000639027,0.000639027
17,781.113,0.60757,0.40801,0.88284,0.9594,0.9755,0.96976,0.84132,0.66044,0.39052,0.86724,0.000621029,0.000621029,0.000621029
18,826.479,0.59551,0.38999,0.87091,0.98679,0.99111,0.99244,0.86204,0.65719,0.38938,0.86138,0.000603031,0.000603031,0.000603031
19,871.916,0.59731,0.39641,0.873,0.98707,0.99798,0.99465,0.87187,0.65964,0.3837,0.8631,0.000585032,0.000585032,0.000585032
20,917.514,0.61481,0.40471,0.87693,0.98713,0.9907,0.99176,0.85911,0.68071,0.39624,0.87326,0.000567034,0.000567034,0.000567034
21,962.896,0.57652,0.37932,0.87331,0.98895,0.99218,0.99379,0.86502,0.65698,0.38113,0.86104,0.000549036,0.000549036,0.000549036
22,1008.34,0.57917,0.37283,0.86377,0.99335,0.99366,0.99426,0.87072,0.65073,0.35779,0.85797,0.000531038,0.000531038,0.000531038
23,1053.72,0.58791,0.37399,0.87297,0.98723,0.99398,0.99024,0.85858,0.66167,0.37932,0.86087,0.00051304,0.00051304,0.00051304
24,1099.02,0.57861,0.36986,0.86439,0.99611,0.99933,0.995,0.8757,0.63224,0.35062,0.86341,0.000495041,0.000495041,0.000495041
25,1144.54,0.55757,0.36187,0.8627,0.98627,0.99317,0.99022,0.86959,0.61609,0.3541,0.85285,0.000477043,0.000477043,0.000477043
26,1189.99,0.56997,0.3652,0.86583,0.98827,0.98789,0.99113,0.87188,0.64748,0.36128,0.85519,0.000459045,0.000459045,0.000459045
27,1235.4,0.56376,0.36475,0.86072,0.98506,0.99933,0.991,0.87845,0.6076,0.35267,0.84916,0.000441047,0.000441047,0.000441047
28,1281.07,0.5566,0.35589,0.86091,0.98934,0.99617,0.9893,0.86902,0.62283,0.34502,0.85162,0.000423049,0.000423049,0.000423049
29,1326.54,0.55415,0.34188,0.85832,0.98378,0.99629,0.99279,0.86985,0.63865,0.34805,0.85156,0.00040505,0.00040505,0.00040505
30,1371.99,0.55364,0.34705,0.86049,0.98626,0.99277,0.99368,0.8768,0.60848,0.33862,0.85025,0.000387052,0.000387052,0.000387052
31,1417.51,0.52528,0.33083,0.85079,0.99823,0.99307,0.99379,0.87622,0.61654,0.33426,0.85265,0.000369054,0.000369054,0.000369054
32,1462.95,0.54662,0.33673,0.85341,0.99119,0.99458,0.99283,0.88277,0.59795,0.32274,0.84183,0.000351056,0.000351056,0.000351056
33,1508.56,0.53102,0.33033,0.85263,0.99309,0.99631,0.99459,0.881,0.61268,0.33245,0.84518,0.000333058,0.000333058,0.000333058
34,1554.02,0.52605,0.32641,0.84903,0.99593,0.99367,0.99362,0.88736,0.59905,0.32015,0.84193,0.000315059,0.000315059,0.000315059
35,1599.7,0.52881,0.32571,0.85449,0.99811,0.99608,0.99462,0.88464,0.57997,0.31366,0.84434,0.000297061,0.000297061,0.000297061
36,1645.14,0.52407,0.32151,0.84924,0.99392,0.99205,0.99297,0.88652,0.59762,0.31606,0.8401,0.000279063,0.000279063,0.000279063
37,1690.57,0.51524,0.31311,0.85005,0.99151,0.99933,0.99497,0.88764,0.59475,0.31897,0.83828,0.000261065,0.000261065,0.000261065
38,1736.26,0.50347,0.30731,0.84564,0.9957,0.9981,0.99463,0.88431,0.61157,0.30565,0.83891,0.000243067,0.000243067,0.000243067
39,1781.7,0.50828,0.30513,0.84829,1,0.99641,0.99443,0.89069,0.57449,0.30717,0.83335,0.000225068,0.000225068,0.000225068
40,1827.3,0.51839,0.31264,0.84631,0.99794,0.99709,0.99462,0.88775,0.5981,0.3088,0.84085,0.00020707,0.00020707,0.00020707
41,1873.14,0.5487,0.30583,0.83612,0.99966,0.99866,0.99499,0.8845,0.6094,0.31535,0.84149,0.000189072,0.000189072,0.000189072
42,1918.3,0.53955,0.30234,0.83265,0.99792,0.99619,0.99464,0.89127,0.5878,0.3028,0.83305,0.000171074,0.000171074,0.000171074
43,1963.66,0.53515,0.29414,0.83049,0.99493,0.99866,0.99498,0.89072,0.5728,0.29595,0.83411,0.000153076,0.000153076,0.000153076
44,2008.95,0.53193,0.29013,0.83119,0.99966,0.99933,0.995,0.89082,0.58026,0.29633,0.83519,0.000135077,0.000135077,0.000135077
45,2054.18,0.52485,0.28628,0.83246,0.99794,0.99899,0.995,0.88614,0.58031,0.29331,0.83406,0.000117079,0.000117079,0.000117079
46,2099.32,0.52063,0.28062,0.82568,0.99524,0.99155,0.99357,0.88872,0.58392,0.30196,0.83424,9.9081e-05,9.9081e-05,9.9081e-05
47,2144.44,0.52477,0.28406,0.82807,0.9942,0.99899,0.99493,0.89017,0.58493,0.2983,0.83555,8.10828e-05,8.10828e-05,8.10828e-05
48,2189.63,0.51696,0.27643,0.82035,0.99626,0.99933,0.99498,0.89453,0.56643,0.28681,0.8343,6.30846e-05,6.30846e-05,6.30846e-05
49,2234.94,0.51178,0.27253,0.82845,0.99794,0.99899,0.995,0.89411,0.5653,0.28226,0.83324,4.50864e-05,4.50864e-05,4.50864e-05
50,2280.12,0.50999,0.2705,0.82128,0.99794,0.99899,0.995,0.89381,0.5684,0.2817,0.83198,2.70882e-05,2.70882e-05,2.70882e-05
