epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6319,1.94733,3.6257,1.48804,0.56013,0.47261,0.48914,0.31339,1.24522,2.28006,1.06478,0.00014161,0.00014161,0.00014161
2,51.2177,1.05853,1.37999,1.00614,0.67404,0.28569,0.49306,0.28037,1.51131,1.66435,1.29191,0.000288664,0.000288664,0.000288664
3,73.5197,1.00158,1.0097,0.97954,0.75057,0.52816,0.6544,0.40879,1.49578,1.26704,1.4355,0.000432748,0.000432748,0.000432748
4,95.836,0.98095,0.89205,1.00193,0.88361,0.77876,0.83853,0.57969,1.27176,1.11838,1.27376,0.000573865,0.000573865,0.000573865
5,118.19,1.0067,0.86162,1.01015,0.83398,0.89314,0.8902,0.56924,1.2142,1.08627,1.22697,0.000712012,0.000712012,0.000712012
6,140.292,0.95489,0.84298,0.9943,0.86629,0.84791,0.86142,0.59074,1.06574,0.96712,1.12925,0.000791767,0.000791767,0.000791767
7,162.539,0.92217,0.76412,0.9699,0.90745,0.91835,0.93899,0.64253,1.19125,0.82071,1.18319,0.00078352,0.00078352,0.00078352
8,184.842,0.90082,0.66429,0.9593,0.92834,0.94543,0.95645,0.66273,1.03282,0.7289,1.07871,0.000775273,0.000775273,0.000775273
9,207.143,0.8689,0.61334,0.96471,0.92561,0.91149,0.94608,0.61961,1.03793,0.68634,1.03919,0.000767026,0.000767026,0.000767026
10,229.233,0.87303,0.60138,0.96623,0.89459,0.80327,0.88253,0.60677,1.11103,0.79646,1.09557,0.00075878,0.00075878,0.00075878
11,251.335,0.88496,0.58511,0.97231,0.94271,0.88571,0.93472,0.66399,1.11183,0.63073,1.12291,0.000750533,0.000750533,0.000750533
12,273.422,0.85997,0.58813,0.96825,0.97149,0.9616,0.97295,0.64407,0.997,0.55701,1.02657,0.000742286,0.000742286,0.000742286
13,295.447,0.87583,0.57662,0.96235,0.9797,0.97628,0.98213,0.61969,1.05927,0.55812,1.0609,0.00073404,0.00073404,0.00073404
14,317.574,0.84238,0.5411,0.95008,0.98918,0.98591,0.98883,0.67606,0.91514,0.50978,1.00339,0.000725793,0.000725793,0.000725793
15,339.833,0.80214,0.51654,0.93859,0.98727,0.98757,0.99133,0.70645,0.95865,0.49252,1.01124,0.000717546,0.000717546,0.000717546
16,362.06,0.82378,0.52726,0.94071,0.94937,0.97162,0.97497,0.71141,1.00245,0.51557,0.99686,0.000709299,0.000709299,0.000709299
17,384.256,0.80608,0.50926,0.93344,0.96297,0.9869,0.98461,0.67996,0.98456,0.53847,1.01842,0.000701053,0.000701053,0.000701053
18,406.337,0.80237,0.51943,0.94054,0.98224,0.974,0.98086,0.72394,0.93231,0.5353,1.0266,0.000692806,0.000692806,0.000692806
19,428.591,0.8211,0.53108,0.94177,0.97439,0.98447,0.98362,0.70004,0.94425,0.48465,1.01311,0.000684559,0.000684559,0.000684559
20,450.679,0.83572,0.50642,0.94541,0.96232,0.98479,0.98496,0.66309,0.95269,0.51123,1.00541,0.000676313,0.000676313,0.000676313
21,472.719,0.80305,0.48805,0.94436,0.98591,0.98938,0.99011,0.67607,1.06977,0.48145,1.04519,0.000668066,0.000668066,0.000668066
22,494.774,0.81575,0.49412,0.93537,0.98528,0.97896,0.98078,0.68768,0.92619,0.46624,1.01171,0.000659819,0.000659819,0.000659819
23,516.819,0.80643,0.49264,0.94745,0.98183,0.96111,0.97399,0.65798,1.01606,0.46547,1.03807,0.000651573,0.000651573,0.000651573
24,538.872,0.78909,0.46772,0.93604,0.98299,0.98214,0.9871,0.73155,0.90488,0.452,0.99215,0.000643326,0.000643326,0.000643326
25,561.133,0.76545,0.46473,0.92817,0.98938,0.97738,0.98578,0.69607,0.93122,0.44715,0.98794,0.000635079,0.000635079,0.000635079
26,583.242,0.76582,0.45689,0.92226,0.98938,0.98214,0.98836,0.71113,0.94928,0.45558,0.9842,0.000626832,0.000626832,0.000626832
27,605.366,0.77423,0.4719,0.91958,0.9861,0.98571,0.9894,0.73527,0.87364,0.43332,0.97593,0.000618586,0.000618586,0.000618586
28,627.664,0.75006,0.45657,0.92056,0.99062,0.99285,0.99251,0.68582,0.96467,0.47537,0.9897,0.000610339,0.000610339,0.000610339
29,649.724,0.78846,0.46418,0.92278,0.98391,0.99306,0.99289,0.72534,0.91295,0.43989,0.98677,0.000602092,0.000602092,0.000602092
30,671.81,0.73868,0.44902,0.91634,0.98542,0.99431,0.99318,0.71746,0.93358,0.46013,0.99022,0.000593846,0.000593846,0.000593846
31,693.873,0.73853,0.45163,0.91689,0.98651,0.99225,0.99295,0.71659,0.91224,0.44361,0.97763,0.000585599,0.000585599,0.000585599
32,715.945,0.76239,0.44652,0.92417,0.99653,0.99653,0.99333,0.72011,0.96796,0.4376,0.98744,0.000577352,0.000577352,0.000577352
33,738.074,0.74311,0.45624,0.91756,0.97623,0.98938,0.98888,0.6897,0.99993,0.4911,1.03796,0.000569106,0.000569106,0.000569106
34,760.158,0.73627,0.44818,0.91715,0.98412,0.99285,0.99224,0.70813,0.94622,0.44589,1.00426,0.000560859,0.000560859,0.000560859
35,782.183,0.74515,0.44862,0.91911,0.98616,0.99231,0.99245,0.72656,0.91604,0.47185,0.99798,0.000552612,0.000552612,0.000552612
36,804.284,0.7157,0.42298,0.91639,0.99178,0.99285,0.99248,0.75716,0.89934,0.41467,0.97751,0.000544365,0.000544365,0.000544365
37,826.512,0.75107,0.42703,0.91565,0.98553,0.9913,0.99241,0.75217,0.82946,0.42048,0.94561,0.000536119,0.000536119,0.000536119
38,848.609,0.71861,0.41924,0.90956,0.99286,0.99148,0.99248,0.74497,0.90655,0.41839,0.98333,0.000527872,0.000527872,0.000527872
39,870.645,0.72366,0.41128,0.9122,0.98938,0.99285,0.9923,0.72433,0.88891,0.4021,0.99368,0.000519625,0.000519625,0.000519625
40,892.708,0.73324,0.43285,0.92632,0.9861,0.99285,0.99117,0.73204,0.85221,0.40791,0.96513,0.000511379,0.000511379,0.000511379
